;Investkosten;Ersparnisse Prosumer;Ersparnisse Consumer;Förderkosten;Eigenverbrauch;Erzeugung;Netzbezug;Netzeinspeisung;Verbrauch
0;;;;;;;;;
1;438768,4668000015;72424,86796938852;5141,445277262388;131630,54004000046;36661,02822500002;230930,7720000008;321209,9360999992;253411,84895000063;417067,52550000045
2;588768,4668000014;81312,50644481512;6439,388493558516;161630,54004000046;36661,02822500002;230930,7720000008;314211,35179348267;195534,11674872928;417067,52550000045
3;738768,4668000014;87804,54452135711;7147,97786461873;191630,54004000046;36661,02822500002;230930,7720000008;297577,0511278349;166304,54832136887;417067,52550000045
4;888768,4668000014;93266,2727482554;7685,121599292208;221630,54004000046;36661,02822500002;230930,7720000008;282892,49751555786;142779,7263822338;417067,52550000045
5;1038768,4668000014;97915,55689097162;8143,5601129411425;251630,54004000046;36661,02822500002;230930,7720000008;270029,6861317258;123109,27243889897;417067,52550000045
6;1188768,4668000014;101271,12425276169;8601,534565141785;281630,54004000046;36661,02822500002;230930,7720000008;260431,67753803515;108417,20578424122;417067,52550000045
7;1338768,4668000014;103029,4653421148;8872,872156240732;311630,54004000046;36661,02822500002;230930,7720000008;255742,76934685127;100178,22429101718;417067,52550000045
8;1488768,4668000014;104125,22322985965;9049,819940744343;341630,54004000046;36661,02822500002;230930,7720000008;253033,7745254081;94780,81355673788;417067,52550000045
9;1638768,4668000014;104802,97912115627;9160,36815443833;371630,54004000046;36661,02822500002;230930,7720000008;251549,41616912367;91244,12665830474;417067,52550000045
10;1788768,4668000014;105427,26553644135;9230,936602381396;401630,54004000046;36661,02822500002;230930,7720000008;250017,99490386626;88349,72076924237;417067,52550000045
11;1938768,4668000014;105815,79126213843;9273,223536876445;431630,54004000046;36661,02822500002;230930,7720000008;249167,87697672183;86455,80901363469;417067,52550000045
