;Investkosten;Ersparnisse Prosumer;Ersparnisse Consumer;Förderkosten;Eigenverbrauch;Erzeugung;Netzbezug;Netzeinspeisung;Verbrauch
0;;;;;;;;;
1;360252,00432000123;15569,52224659907;3929,7670909011854;108075,60129600037;95830,36139999975;230930,7720000008;321209,9360999992;135100,41060000105;417067,52550000045
2;441240,7693259538;18869,855433124223;5513,551409108658;132372,23079778612;112936,108247647;282846,6470038165;304131,4172523517;169910,5387561695;417067,52550000045
3;522229,53433191084;21756,550077820193;6759,706698803538;156668,86029957325;124706,71836950925;334762,52200763527;292360,8071304887;210055,803638126;417067,52550000045
4;603218,2993378659;24405,12171702982;7893,775173724596;180965,48980135977;133562,58744574885;386678,3970114523;283504,9380542491;253115,80956570344;417067,52550000045
5;684207,064343825;26881,129258275087;8964,370326101192;205262,11930314748;140614,78861883894;438594,27201527235;276452,7368811589;297979,4833964334;417067,52550000045
6;765195,8293497772;29220,346371598833;10001,386328340895;229558,74880493316;146469,25568865865;490510,1470190878;270598,2698113396;344040,8913304291;417067,52550000045
7;846184,5943557328;31459,84946606759;11015,063800653335;253855,37830671982;151445,64885968599;542426,0220229056;265621,87664031255;390980,37316321966;417067,52550000045
8;927173,359361687;33625,015832883546;12012,114216699172;278152,0078085061;155790,84092680516;594341,8970267224;261276,68457319314;438551,0560999173;417067,52550000045
9;1008162,1243676471;35731,25701942678;12997,380248461035;302448,63731029414;159622,39345399346;646257,7720305432;257445,13204600455;486635,3785765497;417067,52550000045
10;1089150,8893736016;37788,05025729243;13973,325979342631;326745,26681208046;162986,54690387947;698173,6470343592;254080,97859611872;535187,1001304797;417067,52550000045
11;1170139,6543795504;39804,5746336212;14941,742183724367;351041,8963138651;165959,2320238688;750089,5220381749;251108,29347612947;584130,2900143061;417067,52550000045
12;480252,00432000123;18966,071982430847;4425,796345536647;132075,60129600036;95830,36139999975;230930,7720000008;314211,35179348267;135100,41060000105;417067,52550000045
13;561240,7693259538;21801,916765320646;6133,410345976649;156372,23079778612;112936,108247647;282846,6470038165;295941,1991293399;169910,5387561695;417067,52550000045
14;642229,5343319108;24419,91631980274;7541,306964617756;180668,86029957325;124706,71836950925;334762,52200763527;283304,8695828499;210055,803638126;417067,52550000045
15;723218,2993378659;26935,48371558813;8786,636641900464;204965,48980135977;133562,58744574885;386678,3970114523;273857,3634359991;253115,80956570344;417067,52550000045
16;804207,064343825;29401,09145360457;9954,398480202406;229262,11930314748;140614,78861883894;438594,27201527235;265770,2456580305;297979,4833964334;417067,52550000045
17;885195,8293497772;31720,7728574576;11072,466769690209;253558,74880493316;146469,25568865865;490510,1470190878;259281,0518924917;344040,8913304291;417067,52550000045
18;966184,5943557328;33951,67655365082;12143,270267689186;277855,3783067198;151445,64885968599;542426,0220229056;253652,3686405248;390980,37316321966;417067,52550000045
19;1047173,359361687;36127,00112144157;13187,39552668471;302152,0078085061;155790,84092680516;594341,8970267224;248946,73864870987;438551,0560999173;417067,52550000045
20;1128162,124367647;38245,87577616024;14214,248576232703;326448,63731029414;159622,39345399346;646257,7720305432;244612,51130960876;486635,3785765497;417067,52550000045
21;1209150,8893736016;40313,65828056335;15230,935443656726;350745,26681208046;162986,54690387947;698173,6470343592;241052,4098419589;535187,1001304797;417067,52550000045
22;1290139,6543795504;42358,45273756518;16257,76947648672;375041,8963138651;165959,2320238688;750089,5220381749;237415,16241440453;584130,2900143061;417067,52550000045
23;600252,0043200012;21447,105642255847;4696,594831292142;156075,60129600036;95830,36139999975;230930,7720000008;297577,0511278349;135100,41060000105;417067,52550000045
24;681240,7693259538;24307,436386939742;6482,079452097035;180372,23079778612;112936,108247647;282846,6470038165;277907,6396461297;169910,5387561695;417067,52550000045
25;762229,5343319108;26821,811973195392;8003,966511442546;204668,86029957325;124706,71836950925;334762,52200763527;264237,53751060116;210055,803638126;417067,52550000045
26;843218,2993378659;29277,003001304984;9333,461989538755;228965,48980135977;133562,58744574885;386678,3970114523;254010,67641894607;253115,80956570344;417067,52550000045
27;924207,064343825;31718,306894437228;10580,61932196161;253262,11930314748;140614,78861883894;438594,27201527235;245110,25143060338;297979,4833964334;417067,52550000045
28;1005195,8293497772;34005,22208546586;11771,556399716561;277558,74880493316;146469,25568865865;490510,1470190878;237988,88893333837;344040,8913304291;417067,52550000045
29;1086184,5943557327;36232,700854071416;12908,454524327233;301855,3783067198;151445,64885968599;542426,0220229056;231889,90403705812;390980,37316321966;417067,52550000045
