;Investkosten;Ersparnisse Prosumer;Ersparnisse Consumer;Förderkosten;Eigenverbrauch;Erzeugung;Netzbezug;Netzeinspeisung;Verbrauch
0;;;;;;;;;
1;300210,00360000087;21189,14802180016;0,0;90063,00108000026;36688,25622500003;230930,7720000008;380379,2692749997;194242,5157750007;417067,52550000045
2;415675,3896000014;85023,26289925056;0,0;124702,61688000041;36688,25622500003;230930,7720000008;380379,2692749997;194242,5157750007;417067,52550000045
3;346396,15800000087;39427,02489575029;0,0;138558,46320000035;36688,25622500003;230930,7720000008;380379,2692749997;194242,5157750007;417067,52550000045
4;300210,00360000087;13984,245801549674;1964,8835454505934;90063,00108000026;36661,02822500002;230930,7720000008;321209,9360999992;253411,84895000063;417067,52550000045
5;415675,3896000014;72424,86796938852;5141,445277262388;124702,61688000041;36661,02822500002;230930,7720000008;321209,9360999992;253411,84895000063;417067,52550000045
6;346396,15800000087;29262,08798912038;3111,065613630106;138558,46320000035;36661,02822500002;230930,7720000008;321209,9360999992;253411,84895000063;417067,52550000045
7;840135,103639706;33752,63948144754;12237,05923832138;252040,5310919118;113973,41765201134;646257,7720305432;257445,13204600455;577933,3301805116;417067,52550000045
8;1163263,9896549773;166041,35377653516;54576,02216693301;348979,1968964932;113973,41765201134;646257,7720305432;257445,13204600455;577933,3301805116;417067,52550000045
9;969386,658045813;68885,88994123743;23857,414336005153;387754,66321832524;113973,41765201134;646257,7720305432;257445,13204600455;577933,3301805116;417067,52550000045
